origin_code,sum
8a194ac0130ffff,0
8a194ac01317fff,835
8a194ac0131ffff,393
8a194ac01327fff,0
8a194ac0132ffff,0
8a194ac01337fff,0
8a194ac01347fff,0
8a194ac0134ffff,0
8a194ac01357fff,0
8a194ac0135ffff,0
8a194ac01367fff,0
8a194ac0136ffff,0
8a194ac01377fff,0
8a194ac01387fff,1145
8a194ac0138ffff,0
8a194ac01397fff,544
8a194ac0139ffff,0
8a194ac013a7fff,0
8a194ac013affff,3
8a194ac013b7fff,0
8a194ac01407fff,0
8a194ac0140ffff,0
8a194ac01417fff,42
8a194ac0141ffff,0
8a194ac01427fff,0
8a194ac0142ffff,0
8a194ac01437fff,0
8a194ac01447fff,0
8a194ac0144ffff,45
8a194ac01457fff,461
8a194ac0145ffff,560
8a194ac01467fff,197
8a194ac0146ffff,854
8a194ac01477fff,0
8a194ac01487fff,659
8a194ac0148ffff,153
8a194ac01497fff,271
8a194ac0149ffff,7
8a194ac014a7fff,0
8a194ac014affff,0
8a194ac014b7fff,434
8a194ac014c7fff,0
8a194ac014cffff,0
8a194ac014d7fff,0
8a194ac014dffff,16
8a194ac014e7fff,0
8a194ac014effff,4
8a194ac014f7fff,0
8a194ac01507fff,0
8a194ac0150ffff,0
8a194ac01517fff,0
8a194ac0151ffff,0
8a194ac01527fff,0
8a194ac0152ffff,0
8a194ac01537fff,0
8a194ac01547fff,0
8a194ac0154ffff,0
8a194ac01557fff,0
8a194ac0155ffff,0
8a194ac01567fff,0
8a194ac0156ffff,0
8a194ac01577fff,29
8a194ac01587fff,19
8a194ac0158ffff,297
8a194ac01597fff,746
8a194ac0159ffff,0
8a194ac015a7fff,90
8a194ac015affff,0
8a194ac015b7fff,684
8a194ac01607fff,60
8a194ac0160ffff,644
8a194ac01617fff,165
8a194ac0161ffff,49
8a194ac01627fff,1915
8a194ac0162ffff,516
8a194ac01637fff,134
8a194ac01647fff,0
8a194ac0164ffff,0
8a194ac01657fff,206
8a194ac0165ffff,0
8a194ac01667fff,0
8a194ac0166ffff,0
8a194ac01677fff,200
8a194ac01687fff,191
8a194ac0168ffff,382
8a194ac01697fff,5
8a194ac0169ffff,15
8a194ac016a7fff,103
8a194ac016affff,139
8a194ac016b7fff,0
8a194ac016c7fff,0
8a194ac016cffff,0
8a194ac016d7fff,207
8a194ac016dffff,0
8a194ac016e7fff,63
8a194ac016effff,0
8a194ac016f7fff,0
8a194ac01707fff,88
8a194ac0170ffff,1036
8a194ac01717fff,1002
8a194ac0171ffff,493
8a194ac01727fff,0
8a194ac0172ffff,454
8a194ac01737fff,29
8a194ac01747fff,0
8a194ac0174ffff,0
8a194ac01757fff,195
