destination_code,sum
8a194ac0355ffff,387
8a194ac0358ffff,78
8a194ac035a7fff,235
8a194ac035affff,63
8a194ac03717fff,7
8a194ac03777fff,661
8a194ac03787fff,2
8a194ac0378ffff,2
8a194ac03807fff,77
8a194ac03817fff,16
8a194ac0381ffff,215
8a194ac03827fff,240
8a194ac0382ffff,346
8a194ac03837fff,45
8a194ac03847fff,94
8a194ac03857fff,28
8a194ac03867fff,45
8a194ac0386ffff,100
8a194ac03877fff,497
8a194ac038b7fff,564
8a194ac038f7fff,2
8a194ac03907fff,645
8a194ac03917fff,829
8a194ac0391ffff,70
8a194ac0392ffff,791
8a194ac03937fff,58
8a194ac03947fff,17
8a194ac0394ffff,193
8a194ac03967fff,4
8a194ac0399ffff,40
8a194ac039affff,4
8a194ac03aa7fff,382
8a194ac03aaffff,194
8a194ac03b2ffff,177
8a194ac03b37fff,499
8a194ac03b47fff,68
8a194ac03b6ffff,29
8a194ac03b77fff,233
8a194ac03b87fff,116
8a194ac03b9ffff,294
8a194ac03c17fff,859
8a194ac03c37fff,146
8a194ac03c47fff,78
8a194ac03c4ffff,291
8a194ac03c5ffff,99
8a194ac03c67fff,218
8a194ac03c6ffff,21
8a194ac03c77fff,4
8a194ac03c87fff,519
8a194ac03c8ffff,70
8a194ac03c9ffff,8
8a194ac03ca7fff,529
8a194ac03caffff,77
8a194ac03d07fff,1149
8a194ac03d0ffff,428
8a194ac03d17fff,26
8a194ac03d1ffff,169
8a194ac03d27fff,93
8a194ac03d2ffff,456
8a194ac03d4ffff,255
8a194ac03d8ffff,169
8a194ac03d97fff,6
8a194ac03d9ffff,37
8a194ac03daffff,14
8a194ac03db7fff,1945
8a194ac04007fff,2
8a194ac0400ffff,65
8a194ac04017fff,1025
8a194ac0401ffff,9
8a194ac04027fff,211
8a194ac0402ffff,135
8a194ac04037fff,574
8a194ac04047fff,289
8a194ac0404ffff,254
8a194ac04057fff,53
8a194ac0405ffff,140
8a194ac04067fff,69
8a194ac0406ffff,1714
8a194ac04077fff,11
8a194ac0408ffff,9
8a194ac04097fff,8
8a194ac040a7fff,14
8a194ac040affff,70
8a194ac040c7fff,154
8a194ac040cffff,484
8a194ac040d7fff,71
8a194ac040dffff,755
8a194ac040e7fff,47
8a194ac0410ffff,263
8a194ac0411ffff,462
8a194ac04157fff,1521
8a194ac0416ffff,208
8a194ac04177fff,375
8a194ac04197fff,1153
8a194ac041affff,78
8a194ac04207fff,33
8a194ac0420ffff,56
8a194ac04217fff,2
8a194ac0421ffff,88
8a194ac04227fff,18
8a194ac04237fff,28
8a194ac04247fff,215
8a194ac0424ffff,866
8a194ac04257fff,330
8a194ac0425ffff,1019
8a194ac0426ffff,6
8a194ac04277fff,396
8a194ac04287fff,143
8a194ac04297fff,953
8a194ac0429ffff,671
8a194ac042a7fff,379
8a194ac042b7fff,6
8a194ac042c7fff,349
8a194ac042d7fff,16
8a194ac042dffff,8
8a194ac042e7fff,312
8a194ac042f7fff,9
8a194ac04307fff,65
8a194ac0430ffff,63
8a194ac04317fff,30
8a194ac0431ffff,60
8a194ac04327fff,155
8a194ac0432ffff,731
8a194ac04337fff,334
8a194ac04347fff,683
8a194ac0434ffff,60
8a194ac0435ffff,41
8a194ac04367fff,87
8a194ac0436ffff,148
8a194ac04377fff,161
8a194ac04387fff,733
8a194ac0438ffff,253
8a194ac04397fff,59
8a194ac0439ffff,503
8a194ac043a7fff,149
8a194ac043affff,728
8a194ac043b7fff,612
8a194ac0440ffff,182
8a194ac0441ffff,726
8a194ac04427fff,193
8a194ac0442ffff,431
8a194ac04437fff,376
8a194ac04447fff,750
8a194ac0444ffff,174
8a194ac04457fff,323
8a194ac0445ffff,38
8a194ac04467fff,138
8a194ac0446ffff,39
8a194ac04477fff,17
8a194ac04487fff,573
8a194ac0448ffff,145
8a194ac044a7fff,279
8a194ac044affff,286
8a194ac044c7fff,654
8a194ac044d7fff,182
8a194ac044effff,314
8a194ac044f7fff,63
8a194ac0450ffff,443
8a194ac0452ffff,2
8a194ac04537fff,11
8a194ac0454ffff,16
8a194ac0455ffff,126
8a194ac0456ffff,23
8a194ac04577fff,2
8a194ac04597fff,596
8a194ac0459ffff,152
8a194ac04627fff,55
8a194ac0462ffff,139
8a194ac04647fff,639
8a194ac0464ffff,401
8a194ac0465ffff,3
8a194ac04667fff,62
8a194ac0466ffff,212
8a194ac04677fff,34
8a194ac0468ffff,868
